threshold,precision,recall,f1,tp,fp,tn,fn
0.2,0.18442153493699887,0.9817073170731707,0.3105110896817743,161,712,124,3
0.3,0.21246458923512748,0.9146341463414634,0.3448275862068966,150,556,280,14
0.4,0.2613861386138614,0.8048780487804879,0.39461883408071746,132,373,463,32
0.5,0.3216374269005848,0.6707317073170732,0.43478260869565216,110,232,604,54
0.6,0.3826086956521739,0.5365853658536586,0.4467005076142132,88,142,694,76
0.7,0.4117647058823529,0.34146341463414637,0.37333333333333335,56,80,756,108
0.8,0.5681818181818182,0.1524390243902439,0.2403846153846154,25,19,817,139
