feature,importance_mean,importance_std
method,0.10518164502164504,0.0058395626111926524
past_return_rate,0.09164744588744593,0.008668769043235004
is_new_customer,0.046391688311688314,0.006366113923571013
category,0.04556744588744588,0.00820330886741017
delivery_distance_km,0.010650043290043354,0.001515485172909399
is_late_night,0.006574545454545477,0.0031024903673724305
amount_inr,0.0024103896103895737,0.0012909975261575037
past_orders,0.0003823376623376618,0.001834456749592403
order_hour,1.3852813852843759e-05,0.00035881194657614635
checkout_time_sec,-0.0008741125541125161,0.0009273980376199881
is_weekend,-0.0010791341991341907,0.0006482376840139454
